date,node,type
2014-02-01 02:05:30,nodeIn02.ret.org,t.0x0000012
2014-02-01 05:44:13,nodeIn02.ret.org,t.0x0000012
2014-02-01 08:12:01,nodeIn02.ret.org,t.0x0000012
2014-02-01 08:28:47,nodeIn01.ret.org,t.0x0000012
2014-02-01 09:10:25,nodeIn02.ret.org,t.0x0000012
2014-02-01 10:18:53,nodeIn01.ret.org,t.0x0000012
2014-02-01 14:07:47,nodeIn01.ret.org,t.0x0000012
2014-02-01 16:09:57,nodeIn01.ret.org,t.0x0000012
2014-02-01 17:29:08,nodeIn02.ret.org,t.0x0000012
2014-02-01 21:05:42,nodeIn02.ret.org,t.0x0000012
2014-02-01 21:36:57,nodeIn02.ret.org,t.0x0000012
2014-02-01 22:01:12,nodeIn02.ret.org,t.0x0000012
2014-02-01 22:57:10,nodeIn01.ret.org,t.0x0000012
2014-02-02 00:15:38,nodeIn02.ret.org,t.0x0000012
2014-02-02 00:49:39,nodeIn02.ret.org,t.0x0000012
2014-02-02 07:03:34,nodeIn02.ret.org,t.0x0000012
2014-02-02 07:43:05,nodeIn01.ret.org,t.0x0000012
2014-02-02 08:28:17,nodeIn02.ret.org,t.0x0000012
2014-02-02 12:18:13,nodeIn02.ret.org,t.0x0000012
2014-02-02 13:50:23,nodeIn01.ret.org,t.0x0000012
2014-02-02 14:20:19,nodeIn02.ret.org,t.0x0000012
2014-02-02 16:36:18,nodeIn02.ret.org,t.0x0000012
2014-02-02 17:34:19,nodeIn01.ret.org,t.0x0000012
2014-02-02 18:57:26,nodeIn02.ret.org,t.0x0000012
2014-02-02 20:32:00,nodeIn02.ret.org,t.0x0000012
2014-02-02 20:57:33,nodeIn01.ret.org,t.0x0000012
2014-02-02 21:29:44,nodeIn01.ret.org,t.0x0000012
2014-02-03 01:01:12,nodeIn02.ret.org,t.0x0000012
2014-02-03 01:23:39,nodeIn01.ret.org,t.0x0000012
2014-02-03 01:43:53,nodeIn02.ret.org,t.0x0000012
2014-02-03 04:46:53,nodeIn01.ret.org,t.0x0000012
2014-02-03 08:30:16,nodeIn02.ret.org,t.0x0000012
2014-02-03 10:49:02,nodeIn01.ret.org,t.0x0000012
2014-02-03 12:28:42,nodeIn01.ret.org,t.0x0000012
2014-02-03 16:23:04,nodeIn01.ret.org,t.0x0000012
2014-02-03 16:40:01,nodeIn01.ret.org,t.0x0000012
2014-02-04 01:44:05,nodeIn02.ret.org,t.0x0000012
2014-02-04 04:47:55,nodeIn01.ret.org,t.0x0000012
2014-02-04 04:54:15,nodeIn01.ret.org,t.0x0000012
2014-02-04 05:07:56,nodeIn02.ret.org,t.0x0000012
2014-02-04 09:31:42,nodeIn02.ret.org,t.0x0000012
2014-02-04 09:51:43,nodeIn02.ret.org,t.0x0000012
2014-02-04 10:51:04,nodeIn01.ret.org,t.0x0000012
2014-02-04 12:24:02,nodeIn01.ret.org,t.0x0000012
2014-02-04 12:40:58,nodeIn01.ret.org,t.0x0000012
2014-02-04 15:43:31,nodeIn01.ret.org,t.0x0000012
2014-02-04 16:39:00,nodeIn02.ret.org,t.0x0000012
2014-02-04 16:39:02,nodeIn01.ret.org,t.0x0000012
2014-02-04 16:39:02,nodeIn02.ret.org,t.0x0000012
2014-02-04 16:39:03,nodeIn01.ret.org,t.0x0000012
2014-02-04 16:39:04,nodeIn02.ret.org,t.0x0000012
2014-02-04 16:39:04,nodeIn02.ret.org,t.0x0000012
2014-02-04 16:39:05,nodeIn01.ret.org,t.0x0000012
2014-02-04 16:39:36,nodeIn01.ret.org,t.0x0000012
2014-02-04 16:40:16,nodeIn01.ret.org,t.0x0000012
2014-02-04 16:40:16,nodeIn02.ret.org,t.0x0000012
2014-02-04 16:40:17,nodeIn02.ret.org,t.0x0000012
2014-02-04 16:40:18,nodeIn01.ret.org,t.0x0000012
2014-02-04 16:40:18,nodeIn02.ret.org,t.0x0000012
2014-02-04 16:40:18,nodeIn02.ret.org,t.0x0000012
2014-02-04 16:40:20,nodeIn01.ret.org,t.0x0000012
2014-02-04 16:40:20,nodeIn01.ret.org,t.0x0000012
2014-02-04 16:42:22,nodeIn01.ret.org,t.0x0000012
2014-02-04 16:42:23,nodeIn02.ret.org,t.0x0000012
2014-02-04 16:42:24,nodeIn01.ret.org,t.0x0000012
2014-02-04 16:42:24,nodeIn02.ret.org,t.0x0000012
2014-02-04 16:42:25,nodeIn01.ret.org,t.0x0000012
2014-02-04 16:42:26,nodeIn01.ret.org,t.0x0000012
2014-02-04 16:42:26,nodeIn02.ret.org,t.0x0000012
2014-02-04 16:42:27,nodeIn02.ret.org,t.0x0000012
2014-02-04 18:22:38,nodeIn01.ret.org,t.0x0000012
2014-02-04 19:01:59,nodeIn01.ret.org,t.0x0000012
2014-02-04 19:02:00,nodeIn02.ret.org,t.0x0000012
2014-02-04 19:02:21,nodeIn01.ret.org,t.0x0000012
2014-02-04 19:02:24,nodeIn02.ret.org,t.0x0000012
2014-02-04 23:24:28,nodeIn02.ret.org,t.0x0000012
2014-02-05 01:45:39,nodeIn02.ret.org,t.0x0000012
2014-02-05 03:24:40,nodeIn02.ret.org,t.0x0000012
2014-02-05 03:59:58,nodeIn01.ret.org,t.0x0000012
2014-02-05 05:01:12,nodeIn01.ret.org,t.0x0000012
2014-02-05 05:32:22,nodeIn01.ret.org,t.0x0000012
2014-02-05 06:24:55,nodeIn02.ret.org,t.0x0000012
2014-02-05 07:03:34,nodeIn01.ret.org,t.0x0000012
2014-02-05 08:08:53,nodeIn01.ret.org,t.0x0000012
2014-02-05 08:32:37,nodeIn01.ret.org,t.0x0000012
2014-02-05 08:50:33,nodeIn02.ret.org,t.0x0000012
2014-02-05 10:29:34,nodeIn02.ret.org,t.0x0000012
2014-02-05 13:27:39,nodeIn02.ret.org,t.0x0000012
2014-02-05 15:38:23,nodeIn01.ret.org,t.0x0000012
2014-02-05 18:51:38,nodeIn02.ret.org,t.0x0000012
2014-02-05 19:00:59,nodeid01.ret.org,t.0x0000012
2014-02-05 19:01:01,nodeid01.ret.org,t.0x0000012
2014-02-05 19:01:01,nodeid02.ret.org,t.0x0000012
2014-02-05 19:01:01,nodeid02.ret.org,t.0x0000012
2014-02-05 19:01:21,nodeid01.ret.org,t.0x0000012
2014-02-05 19:01:21,nodeid02.ret.org,t.0x0000012
2014-02-05 19:01:24,nodeid01.ret.org,t.0x0000012
